url,description,image,price
/http:////www.ebay.com//itm//Handmade-Brass-Maritime-Ship-Navigation-Wheel-Keychain-Keyring-Nautical-Gift-//352734216086?hash=item522098ff96/,Handmade Brass Maritime Ship Navigation Wheel Keychain Keyring Nautical Gift,/http:////thumbs3.ebaystatic.com//m//mPENzlHWTvhF-pc0Rf3RCkA//140.jpg/,$8.98
/http:////www.ebay.com//itm//Japanese-Samurai-Katana-Sword-Maintenance-Cleaning-Kit-//173915458890?hash=item287e2b4d4a/,Japanese Samurai Katana Sword Maintenance Cleaning Kit,/http:////thumbs3.ebaystatic.com//m//mmMEaVGG7YhDM7m4WA8f5uA//140.jpg/,$12.48
/http:////www.ebay.com//itm//6-Mastiff-Trapper-Double-Blade-Stainless-Steel-Gentleman-Pocket-Folding-Knife-//173946517732?hash=item28800538e4/,"6"" Mastiff Trapper Double Blade Stainless Steel Gentleman Pocket Folding Knife",/http:////thumbs1.ebaystatic.com//m//m1vGd5OEqx4aesJ-pVg1pRg//140.jpg/,$9.98
/http:////www.ebay.com//itm//Skyjiro-Warrior-Handmade-Samurai-Katana-Sword-No-Bohi-1060-Steel-Sharp-Blade-//352805549738?hash=item5224d976aa/,Skyjiro The Warrior Handmade Samurai Katana Sword No Bohi 1060 Steel Sharp Blade,/http:////thumbs3.ebaystatic.com//m//mmPAB7GYIchQu77SaqjNzmA//140.jpg/,$199.00
/http:////www.ebay.com//itm//24-Full-Tang-Zombie-Killer-Short-Sword-Machete-Survival-Gear-w-Carrying-Sheath-//352769233516?hash=item5222af526c/,/"24"" Full Tang Zombie Killer Short Sword Machete Survival Gear w// Carrying Sheath"/,/http:////thumbs1.ebaystatic.com//m//mKuGooxi-nvgkc3Vuk4pDrw//140.jpg/,$14.98
/http:////www.ebay.com//itm//7-WWII-Marine-USMC-Military-Combat-Knife-Souvenir-Letter-Opener-Fixed-Blade-//173183999612?var=&hash=item6de036719e/,"7"" WWII Marine USMC Military Combat Knife Souvenir Letter Opener Fixed Blade",/http:////thumbs1.ebaystatic.com//pict//1731839996124040_1.jpg/,$9.98
/http:////www.ebay.com//itm//8-Camouflage-Sharp-Spring-Assist-Pocket-Folding-Knife-//202765719154?hash=item2f35c75672/,"8"" Camouflage Sharp Spring Assist Pocket Folding Knife",/http:////thumbs3.ebaystatic.com//m//mupI9w9flB4sNZWc18DwpeA//140.jpg/,$8.98
/http:////www.ebay.com//itm//40-Kendo-Wooden-Bokken-Bokuto-Practice-Samurai-Sword-Training-Katana-//351719017907?hash=item51e4164db3/,"40"" Kendo Wooden Bokken Bokuto Practice Samurai Sword Training Katana",/http:////thumbs4.ebaystatic.com//m//mHE_EdivyNCnTFLG4eI4bhQ//140.jpg/,$7.98
/http:////www.ebay.com//itm//Spring-Assisted-Opening-Knife-Air-Force-Emblem-Rescue-Folding-Blade-//352769422601?hash=item5222b23509/,Spring Assisted Opening Knife with Air Force Emblem Rescue Folding Blade,/http:////thumbs2.ebaystatic.com//m//mGoLzlzno-NosZvROZ7t8tw//140.jpg/,$8.98
/http:////www.ebay.com//itm//Army-Green-Camo-Assisted-Opening-Pocket-Rescue-Knife-Belt-Cutter-Glass-Breaker-//352769423622?hash=item5222b23906/,Army Green Camo Assisted Opening Pocket Rescue Knife Belt Cutter Glass Breaker,/http:////thumbs3.ebaystatic.com//m//mUP8rQglGUgR-cRVA20XITg//140.jpg/,$10.98
/http:////www.ebay.com//itm//Mastiff-Assisted-Opening-Pocket-Knife-7CR17MOV-Blade-Serrated-Steel-Handle-Black-//202765773899?hash=item2f35c82c4b/,Mastiff Assisted Opening Pocket Knife 7CR17MOV Blade Serrated Steel Handle Black,/http:////thumbs4.ebaystatic.com//m//mDtsbc8LSwGzEacKzV_Fq1A//140.jpg/,$14.98
/http:////www.ebay.com//itm//Corinthian-Greek-Spartan-Helmet-Red-Crest-Roman-Armor-LARP-Costume-Armour-//202743929380?hash=item2f347ada24/,Corinthian Greek Spartan Helmet with Red Crest Roman Armor LARP Costume Armour,/http:////thumbs1.ebaystatic.com//m//mfo2_Zz8nbXSiBl-mXofoSg//140.jpg/,$95.98
/http:////www.ebay.com//itm//FN-SCAR-Gun-Look-Spring-Assist-Opening-Tactical-Knife-Folder-Army-Green-Camo-//352702951999?hash=item521ebbf23f/,FN SCAR Gun Look Spring Assist Opening Tactical Knife Folder Army Green Camo,/http:////thumbs4.ebaystatic.com//m//meCFAAdrfmvRLxgy6RiEPxQ//140.jpg/,$11.98
/http:////www.ebay.com//itm//15-Paris-Eiffel-Tower-Letter-Opener-Fantasy-Dagger-Gift-Knife-w-Display-Stand-//202719931895?hash=item2f330cadf7/,/"15"" Paris Eiffel Tower Letter Opener Fantasy Dagger Gift Knife w// Display Stand"/,/http:////thumbs4.ebaystatic.com//m//mXTlxTOiNmRc2xbZtP34xrQ//140.jpg/,$11.98
/http:////www.ebay.com//itm//Green-Camo-Spring-Assisted-Opening-Tactical-Knife-Ribbed-Handle-Drop-Point-//352769488114?hash=item5222b334f2/,Green Camo Spring Assisted Opening Tactical Knife Ribbed Handle Drop Point,/http:////thumbs3.ebaystatic.com//m//mYwmXqn99Gudp2kpz6akeuQ//140.jpg/,$10.98
/http:////www.ebay.com//itm//Munetoshi-Lion-Dog-Handmade-1060-Steel-Samurai-Katana-Wakizashi-Sword-Daisho-Set-//202719952876?hash=item2f330cffec/,Munetoshi Lion Dog Handmade 1060 Steel Samurai Katana Wakizashi Sword Daisho Set,/http:////thumbs1.ebaystatic.com//m//m1Mr9r5ie5ePV0wvri8m1aQ//140.jpg/,$269.98
/http:////www.ebay.com//itm//1688-Pirate-Gun-Flint-Lock-Blunderbuss-Replica-Pistol-//202765865174?hash=item2f35c990d6/,1688 Pirate Gun Flint Lock Blunderbuss Replica Pistol,/http:////thumbs3.ebaystatic.com//m//m7XUxxNBWmtghnKLjQRt6Rg//140.jpg/,$12.98
/http:////www.ebay.com//itm//12-Fish-Naval-Pirate-Gun-Flint-Lock-Blunderbuss-Die-Cast-Replica-Decor-Pistol-//202352709117?hash=item2f1d294dfd/,"12"" Fish Naval Pirate Gun Flint Lock Blunderbuss Die Cast Replica Decor Pistol",/http:////thumbs2.ebaystatic.com//m//m30aKkdLao3PdNt3NvWMm2Q//140.jpg/,$26.98
/http:////www.ebay.com//itm//17-5-Robin-Hood-Dagger-Medieval-Crusader-Knight-Sword-//174011039110?hash=item2883ddbd86/,"17.5"" Robin Hood Dagger Medieval Crusader Knight Sword",/http:////thumbs3.ebaystatic.com//m//mSfV94fUfJWz7olgetyctqg//140.jpg/,$31.98
/http:////www.ebay.com//itm//Camouflage-Color-Tactical-Spring-Assisted-Opening-Knife-Pocket-Folder-//202765905932?hash=item2f35ca300c/,Camouflage Color Tactical Spring Assisted Opening Knife Pocket Folder,/http:////thumbs1.ebaystatic.com//m//mRTMXGtxd_j8j1JMloLAtKA//140.jpg/,$7.98
/http:////www.ebay.com//itm//Handmade-Brass-Miniature-Ship-Cannon-Keychain-Keyring-Nautical-Gift-Souvenir-//352734606595?hash=item52209ef503/,Handmade Brass Miniature Ship Cannon Keychain Keyring Nautical Gift Souvenir,/http:////thumbs4.ebaystatic.com//m//mOTjz_CIYI_r4KJap3RUNdA//140.jpg/,$9.98
/http:////www.ebay.com//itm//Skyjiro-Warrior-Handmade-Katana-Sword-w-Bohi-1070-Steel-Through-Hardened-Blade-//174011094927?hash=item2883de978f/,/Skyjiro Warrior Handmade Katana Sword w//  Bohi 1070 Steel Through Hardened Blade/,/http:////thumbs4.ebaystatic.com//m//mbSzobxw4idZ05y8tHKo0rA//140.jpg/,$199.98
/http:////www.ebay.com//itm//Flintlock-Duel-Pistol-Spanish-Cavalier-Replica-Fake-Decoration-Gun-Stand-//173383494684?hash=item285e762c1c/,Flintlock Duel Pistol Spanish Cavalier Replica Fake Decoration Gun with Stand,/http:////thumbs1.ebaystatic.com//m//m_UVVivMyeXJ0b-daH0NbBg//140.jpg/,$19.98
/http:////www.ebay.com//itm//Handmade-Medieval-Leather-Hunting-Quiver-Renaissance-//202765968496?hash=item2f35cb2470/,Handmade Medieval Leather Hunting Quiver For Renaissance,/http:////thumbs1.ebaystatic.com//m//mM2WIBLnRCFJ89iEuI-XsIw//140.jpg/,$30.98
/http:////www.ebay.com//itm//Multi-Function-Tools-30-Tactical-Axe-Hammer-Textured-G10-Handle-Scales-//202720093152?hash=item2f330f23e0/,"Multi Function Tools 30"" Tactical Axe Hammer with Textured G10 Handle Scales",/http:////thumbs1.ebaystatic.com//m//mZyz6iJoTH8QmJmJiX-B_Qg//140.jpg/,$55.98
/http:////www.ebay.com//itm//Munetoshi-Water-Dragon-Handmade-Differentially-Hardened-Samurai-Sword-Daisho-Set-//352703180029?hash=item521ebf6cfd/,Munetoshi Water Dragon Handmade Differentially Hardened Samurai Sword Daisho Set,/http:////thumbs2.ebaystatic.com//m//mLIBSEUqh_I7nnT-gW-FtRQ//140.jpg/,$199.98
/http:////www.ebay.com//itm//Spring-Assisted-Opening-Special-Forces-Pocket-Knife-w-Belt-Cutter-Glass-Punch-//352769720260?hash=item5222b6bfc4/,/Spring Assisted Opening Special Forces Pocket Knife w// Belt Cutter Glass Punch/,/http:////thumbs1.ebaystatic.com//m//moQ8Z0qXDqRSMr3yhTvTAMg//140.jpg/,$10.98
/http:////www.ebay.com//itm//Titanium-Coated-7CR17MOV-Steel-Tactical-Spring-Assist-Opening-Folding-Knife-GY-//202744145699?hash=item2f347e2723/,Titanium Coated 7CR17MOV Steel Tactical  Spring Assist Opening Folding Knife GY,/http:////thumbs4.ebaystatic.com//m//m4WTe8YYM4nN-MkNbfgG9Nw//140.jpg/,$12.98
/http:////www.ebay.com//itm//Ryujin-40-1060-Differentially-Hardened-Steel-Gunto-Tachi-Samurai-Katana-Sword-//174011222015?hash=item2883e087ff/,"Ryujin 40"" 1060 Differentially Hardened Steel Gunto Tachi Samurai Katana Sword",/http:////thumbs4.ebaystatic.com//m//m3DEAGNmPuZWk5rLVkHsbjA//140.jpg/,$299.98
/http:////www.ebay.com//itm//3-Pcs-8-Black-Demon-Throwing-Knife-Skelotonized-Fixed-Blade-Sharp-Pouch-//352769811215?hash=item5222b8230f/,"3 Pcs 8"" Black Demon Throwing Knife Skelotonized Fixed Blade Sharp with Pouch",/http:////thumbs4.ebaystatic.com//m//mmXwkW80MbC0KxyHPAhvPmA//140.jpg/,$12.98
/http:////www.ebay.com//itm//Handmade-Last-Samurai-Japanese-Katana-Wakizashi-Tanto-Sword-Set-Sharp-Blade-Red-//174011302763?hash=item2883e1c36b/,Handmade Last Samurai Japanese Katana Wakizashi Tanto Sword Set Sharp Blade Red,/http:////thumbs4.ebaystatic.com//m//mr0Cf5kmztsbuOA_iDTcFFA//140.jpg/,$124.98
/http:////www.ebay.com//itm//Handmade-Nautical-Maritime-Spyglass-Pullout-Telescope-Brass-w-Inlay-Wooden-Box-//352703348533?hash=item521ec1ff35/,/Handmade Nautical Maritime Spyglass Pullout Telescope Brass w// Inlay Wooden Box/,/http:////thumbs2.ebaystatic.com//m//mhFNsMdZTagpV0EWqa4jYWA//140.jpg/,$18.98
/http:////www.ebay.com//itm//39-Black-Natural-Color-Wood-Bokken-Set-Katana-Size-Practice-Sword-//352734845806?hash=item5220a29b6e/,"39 "" Black & Natural Color Wood Bokken Set Katana Size Practice Sword",/http:////thumbs3.ebaystatic.com//m//mtGb6XMf-X8N1kj0_0sSP5Q//140.jpg/,$12.98
/http:////www.ebay.com//itm//13-5-Noble-Deer-Fantasy-Dagger-Gift-Bowie-Knife-Souvenir-Scabbard-//352651442338?hash=item521ba9f8a2/,"13.5"" Noble Deer Fantasy Dagger Gift Bowie Knife Souvenir with Scabbard",/http:////thumbs3.ebaystatic.com//m//mr-rJYF9TgVDpUp4mlOETWA//140.jpg/,$8.98
/http:////www.ebay.com//itm//Clan-Douglass-Scottish-Crest-Badge-Brooch-Pin-Clothes-Costume-Gift-Souvenir-//174011340811?hash=item2883e2580b/,Clan Douglass Scottish Crest Badge Brooch Pin for Clothes Costume Gift Souvenir,/http:////thumbs4.ebaystatic.com//m//mt88eKokkS3zfWhDSaqQhXw//140.jpg/,$7.98
/http:////www.ebay.com//itm//12-PCS-6-5-Aluminum-Metal-Crossbow-Bolts-Arrows-Gold-50-80-lbs-Bow-//352241747448?hash=item52033e85f8/,"12 PCS 6.5"" Aluminum Metal Crossbow Bolts Arrows Gold for 50 & 80 lbs Bow",/http:////thumbs1.ebaystatic.com//m//m7-MDC8zx-KE1aj7A3aTZgA//140.jpg/,$5.68
/http:////www.ebay.com//itm//Assisted-Opening-Army-Grenade-Knife-Black-Blade-Folder-//352703754634?hash=item521ec8318a/,Assisted Opening Army Grenade Knife Black Blade Folder,/http:////thumbs3.ebaystatic.com//m//mrwNk80QYFrfCV8U6Ium7_g//140.jpg/,$9.98
/http:////www.ebay.com//itm//37-Grenade-Style-Cane-Gentlemans-Walking-Stick-w-Metal-Shaft-and-Rubber-Tip-//352675820654?hash=item521d1df46e/,/"37"" Grenade Style Cane Gentleman's Walking Stick w// Metal Shaft and Rubber Tip"/,/http:////thumbs3.ebaystatic.com//m//mF1xYetoua8nYdC-M0pHhUQ//140.jpg/,$16.98
/http:////www.ebay.com//itm//Green-Assisted-Opening-Folding-Knife-Serrated-AK47-Gun-Shape-Style-Drop-Point-//352735215272?hash=item5220a83ea8/,Green Assisted Opening Folding Knife Serrated AK47 Gun Shape Style Drop Point,/http:////thumbs1.ebaystatic.com//m//mZiBWTomG2PYkLNZ931woww//140.jpg/,$10.98
